info,training_iteration,experiment_id,node_ip,timestamp,episode_reward_mean,hostname,pid,episodes_total,timesteps_total,episode_reward_min,time_this_iter_s,time_total_s,date,done,episode_reward_max,timesteps_this_iter,config,policy_reward_mean,episode_len_mean
"{'policy_loss': 6.668269634246826e-07, 'num_steps_trained': 5000, 'grad_time_ms': 18135.657, 'vf_explained_var': 0.5967004895210266, 'kl': 3.9053038562997244e-06, 'entropy': 7.442980859195814e-05, 'cur_lr': 0.000699999975040555, 'num_steps_sampled': 5000, 'total_loss': 0.8614866137504578, 'sample_time_ms': 3417.541, 'vf_loss': 0.8614848256111145, 'update_time_ms': 246.148, 'load_time_ms': 355.401}",1,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990609,2.0,ip-172-30-1-228,3240,40,5000,2.0,22.358739852905273,22.358739852905273,2018-08-23_02-16-49,False,2.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},803.825
"{'policy_loss': -0.006611465476453304, 'num_steps_trained': 10000, 'grad_time_ms': 9989.512, 'vf_explained_var': 0.7490154504776001, 'kl': 0.022308649495244026, 'entropy': 0.09529168158769608, 'cur_lr': 0.0006998250028118491, 'num_steps_sampled': 10000, 'total_loss': 0.3708135783672333, 'sample_time_ms': 2770.401, 'vf_loss': 0.3728008270263672, 'update_time_ms': 132.797, 'load_time_ms': 352.184}",2,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990614,2.0,ip-172-30-1-228,3240,100,10000,2.0,4.481796026229858,26.840535879135132,2018-08-23_02-16-54,False,2.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},804.21
"{'policy_loss': -0.0026321460027247667, 'num_steps_trained': 15000, 'grad_time_ms': 7277.709, 'vf_explained_var': 0.6028604507446289, 'kl': 0.0008131205104291439, 'entropy': 0.08375861495733261, 'cur_lr': 0.0006996499723754823, 'num_steps_sampled': 15000, 'total_loss': 0.4253225326538086, 'sample_time_ms': 2536.413, 'vf_loss': 0.4284873604774475, 'update_time_ms': 93.3, 'load_time_ms': 334.489}",3,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990618,2.0,ip-172-30-1-228,3240,100,15000,2.0,4.381072044372559,31.22160792350769,2018-08-23_02-16-58,False,2.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},805.46
"{'policy_loss': -0.001432907534763217, 'num_steps_trained': 20000, 'grad_time_ms': 5920.763, 'vf_explained_var': 0.5032839775085449, 'kl': 0.00441785529255867, 'entropy': 0.11433984339237213, 'cur_lr': 0.0006994750001467764, 'num_steps_sampled': 20000, 'total_loss': 0.5190860629081726, 'sample_time_ms': 2456.937, 'vf_loss': 0.5208340883255005, 'update_time_ms': 73.965, 'load_time_ms': 327.313}",4,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990623,2.01,ip-172-30-1-228,3240,100,20000,2.0,4.54849100112915,35.77009892463684,2018-08-23_02-17-03,False,3.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},807.12
"{'policy_loss': -0.02616950497031212, 'num_steps_trained': 25000, 'grad_time_ms': 5112.682, 'vf_explained_var': 0.5769620537757874, 'kl': 0.07445289939641953, 'entropy': 0.2676089406013489, 'cur_lr': 0.0006993000279180706, 'num_steps_sampled': 25000, 'total_loss': 0.6079656481742859, 'sample_time_ms': 2384.678, 'vf_loss': 0.6298313736915588, 'update_time_ms': 62.193, 'load_time_ms': 321.113}",5,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990627,2.0,ip-172-30-1-228,3240,100,25000,0.0,4.436651945114136,40.20675086975098,2018-08-23_02-17-07,False,3.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},806.15
"{'policy_loss': -0.013233916833996773, 'num_steps_trained': 30000, 'grad_time_ms': 4568.606, 'vf_explained_var': 0.5621486306190491, 'kl': 0.01189270056784153, 'entropy': 0.31031280755996704, 'cur_lr': 0.0006991249974817038, 'num_steps_sampled': 30000, 'total_loss': 0.4104214310646057, 'sample_time_ms': 2350.54, 'vf_loss': 0.42508602142333984, 'update_time_ms': 54.483, 'load_time_ms': 314.723}",6,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990632,1.66,ip-172-30-1-228,3240,100,30000,0.0,4.472762107849121,44.6795129776001,2018-08-23_02-17-12,False,3.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},761.45
"{'policy_loss': -0.00991700030863285, 'num_steps_trained': 35000, 'grad_time_ms': 4175.401, 'vf_explained_var': 0.5280882120132446, 'kl': 0.007809681352227926, 'entropy': 0.3823544979095459, 'cur_lr': 0.0006989500252529979, 'num_steps_sampled': 35000, 'total_loss': 0.18685975670814514, 'sample_time_ms': 2340.904, 'vf_loss': 0.19950208067893982, 'update_time_ms': 48.591, 'load_time_ms': 309.708}",7,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990636,0.94,ip-172-30-1-228,3240,100,35000,0.0,4.535487174987793,49.21500015258789,2018-08-23_02-17-16,False,3.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},645.23
"{'policy_loss': -0.011053813621401787, 'num_steps_trained': 40000, 'grad_time_ms': 3879.408, 'vf_explained_var': 0.38254061341285706, 'kl': 0.006375981029123068, 'entropy': 0.44354313611984253, 'cur_lr': 0.0006987749948166311, 'num_steps_sampled': 40000, 'total_loss': 0.07868631184101105, 'sample_time_ms': 2315.444, 'vf_loss': 0.0932789295911789, 'update_time_ms': 44.382, 'load_time_ms': 306.213}",8,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990641,0.79,ip-172-30-1-228,3240,100,40000,0.0,4.3768510818481445,53.591851234436035,2018-08-23_02-17-21,False,4.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},613.33
"{'policy_loss': -0.011986808851361275, 'num_steps_trained': 45000, 'grad_time_ms': 3653.549, 'vf_explained_var': 0.5493544340133667, 'kl': 0.00796525925397873, 'entropy': 0.39849138259887695, 'cur_lr': 0.0006986000225879252, 'num_steps_sampled': 45000, 'total_loss': 0.05665849894285202, 'sample_time_ms': 2306.688, 'vf_loss': 0.07151011377573013, 'update_time_ms': 40.648, 'load_time_ms': 302.705}",9,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990645,0.92,ip-172-30-1-228,3240,100,45000,0.0,4.515826225280762,58.1076774597168,2018-08-23_02-17-25,False,4.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},623.93
"{'policy_loss': -0.009657735005021095, 'num_steps_trained': 50000, 'grad_time_ms': 3468.802, 'vf_explained_var': 0.6285079717636108, 'kl': 0.0035406872630119324, 'entropy': 0.4187694191932678, 'cur_lr': 0.0006984249921515584, 'num_steps_sampled': 50000, 'total_loss': 0.026109356433153152, 'sample_time_ms': 2296.468, 'vf_loss': 0.03945687413215637, 'update_time_ms': 38.032, 'load_time_ms': 299.686}",10,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990650,1.06,ip-172-30-1-228,3240,100,50000,0.0,4.426997184753418,62.534674644470215,2018-08-23_02-17-30,False,4.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},642.18
"{'policy_loss': -0.010727199725806713, 'num_steps_trained': 55000, 'grad_time_ms': 1836.57, 'vf_explained_var': 0.687238335609436, 'kl': 0.004963119979947805, 'entropy': 0.432609885931015, 'cur_lr': 0.0006982500199228525, 'num_steps_sampled': 55000, 'total_loss': 0.019133808091282845, 'sample_time_ms': 2175.069, 'vf_loss': 0.03383813425898552, 'update_time_ms': 14.706, 'load_time_ms': 292.885}",11,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990654,1.01,ip-172-30-1-228,3240,100,55000,0.0,4.45578408241272,66.99045872688293,2018-08-23_02-17-34,False,4.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},627.68
"{'policy_loss': -0.00801380630582571, 'num_steps_trained': 60000, 'grad_time_ms': 1830.406, 'vf_explained_var': 0.7273452877998352, 'kl': 0.006009314209222794, 'entropy': 0.4359036386013031, 'cur_lr': 0.0006980749894864857, 'num_steps_sampled': 60000, 'total_loss': 0.02285091020166874, 'sample_time_ms': 2185.634, 'vf_loss': 0.03501248359680176, 'update_time_ms': 13.881, 'load_time_ms': 286.826}",12,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990659,1.15,ip-172-30-1-228,3240,100,60000,0.0,4.445056200027466,71.4355149269104,2018-08-23_02-17-39,False,4.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},646.21
"{'policy_loss': -0.008473286405205727, 'num_steps_trained': 65000, 'grad_time_ms': 1823.28, 'vf_explained_var': 0.7090299725532532, 'kl': 0.0058975680731236935, 'entropy': 0.4788985252380371, 'cur_lr': 0.0006979000172577798, 'num_steps_sampled': 65000, 'total_loss': 0.0281252171844244, 'sample_time_ms': 2199.124, 'vf_loss': 0.04118015617132187, 'update_time_ms': 14.649, 'load_time_ms': 285.013}",13,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990663,1.13,ip-172-30-1-228,3240,100,65000,0.0,4.42418909072876,75.85970401763916,2018-08-23_02-17-43,False,4.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},646.69
"{'policy_loss': -0.009698299691081047, 'num_steps_trained': 70000, 'grad_time_ms': 1814.348, 'vf_explained_var': 0.7729209661483765, 'kl': 0.004770413041114807, 'entropy': 0.4687593877315521, 'cur_lr': 0.000697724986821413, 'num_steps_sampled': 70000, 'total_loss': 0.024074235931038857, 'sample_time_ms': 2197.071, 'vf_loss': 0.03829241916537285, 'update_time_ms': 14.268, 'load_time_ms': 282.532}",14,777898dd633f4dea90a3158f2e4ef2e8,172.30.1.228,1534990667,1.28,ip-172-30-1-228,3240,100,70000,0.0,4.396009922027588,80.25571393966675,2018-08-23_02-17-47,False,5.0,5000,"{'num_sgd_iter': 10, 'tf_session_args': {'allow_soft_placement': True, 'gpu_options': {'allow_growth': True}, 'inter_op_parallelism_threads': 1, 'device_count': {'CPU': 1}, 'intra_op_parallelism_threads': 1, 'log_device_placement': False}, 'sgd_batchsize': 500, 'num_gpus_per_worker': 0, 'kl_target': 0.01, 'sample_batch_size': 500, 'lr_schedule': [[0, 0.0007], [20000000, 1e-12]], 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_mapping_fn': None, 'policy_graphs': {}, 'policies_to_train': None}, 'use_gae': True, 'num_cpus_per_worker': 1, 'vf_share_layers': True, 'kl_coeff': 0.5, 'env_config': {}, 'entropy_coeff': 0.01, 'env': 'BreakoutNoFrameskip-v4', 'sample_async': False, 'preprocessor_pref': 'deepmind', 'clip_rewards': True, 'optimizer': {}, 'timesteps_per_batch': 5000, 'num_workers': 10, 'sgd_stepsize': 5e-05, 'clip_param': 0.1, 'batch_mode': 'truncate_episodes', 'vf_loss_coeff': 1.0, 'num_envs_per_worker': 5, 'num_gpus': 1, 'simple_optimizer': False, 'observation_filter': 'NoFilter', 'horizon': None, 'model': {'max_seq_len': 20, 'use_lstm': False}, 'gamma': 0.99, 'lambda': 0.95}",{},666.14
